gender,age
M,42
K,37
M,12
K,9
M,6
M,3
K,1
K,25
M,44
K,33
M,9
M,6
K,4
K,2
K,23
K,23
M,22
M,49
K,41
K,30
K,21
M,35
K,27
M,5
K,4
M,2
K,17
K,25
M,34
K,25
K,2
K,29
K,17
K,42
K,14
K,12
K,8
K,27
M,31
M,15
M,46
K,40
M,4
K,1
K,52
K,49
M,26
M,24
K,26
K,15
M,16
M,16
M,25
M,64
K,68
K,46
M,59
K,50
M,74
K,73
K,32
K,23
M,59
K,56
M,15
M,32
K,33
M,5
K,2
M,39
K,41
K,7
M,1
K,39
K,21
M,3
K,2
M,16
K,23
K,15
K,62
K,63
M,49
K,48
M,24
M,24
K,30
M,54
K,34
M,70
K,24
K,15
M,48
K,47
K,15
K,13
M,11
M,9
M,8
M,7
K,24
K,36
K,25
K,29
K,76
K,46
K,36
K,32
K,30
M,31
K,26
K,22
M,56
K,34
M,23
M,29
K,32
M,59
K,59
M,28
K,25
K,16
K,30
K,54
K,24
K,78
K,36
K,51
K,42
M,48
K,24
M,48
K,35
M,14
K,12
K,10
K,7
K,5
M,3
M,1
K,50
M,25
M,17
K,29
K,17
M,39
K,37
K,10
M,8
M,6
M,3
M,31
M,28
M,28
M,20
M,19
M,19
M,17
M,53
K,40
K,23
K,28
M,42
K,32
K,2
K,27
K,24
K,23
M,35
K,38
M,10
K,1
M,38
K,35
M,7
M,6
K,4
M,2
M,60
M,79
K,60
M,15
M,62
K,75
K,33
M,5
K,3
M,74
K,70
K,35
M,66
K,67
M,33
K,33
M,5
K,1
M,25
K,20
M,2
M,64
K,45
K,9
K,36
K,60
M,63
M,13
M,29
M,30
K,26
M,41
K,43
M,21
M,10
M,33
K,27
M,3
M,31
K,34
M,4
M,2
M,27
K,27
M,2
K,65
K,69
M,46
K,40
M,13
M,10
K,7
M,4
K,2
M,25
K,27
K,47
K,31
M,51
K,39
K,19
K,69
M,33
K,31
K,3
K,1
K,21
M,33
K,56
K,19
M,24
M,23
M,17
K,51
M,34
K,36
M,12
K,10
M,9
K,5
M,3
M,48
K,51
M,14
K,12
M,10
K,20
M,27
K,25
M,1
M,42
K,38
M,15
K,9
M,7
M,5
M,3
M,42
K,33
M,29
K,22
M,47
K,49
K,15
M,52
K,38
M,13
M,11
M,10
M,6
K,3
K,26
M,39
K,37
K,12
M,10
K,38
K,22
M,60
K,56
K,60
K,30
M,9
M,7
M,33
K,33
K,5
K,3
U,1
M,18
K,16
M,56
K,48
M,8
K,22
M,41
K,24
K,3
K,29
K,56
M,73
K,58
K,30
K,35
M,51
K,48
M,6
M,44
K,40
K,17
M,79
M,19
K,22
M,40
K,36
M,14
K,68
M,32
K,28
K,81
M,54
K,53
K,14
M,13
K,26
M,49
K,48
K,7
M,3
M,2
M,62
K,49
K,24
K,31
M,2
K,61
K,23
M,62
K,61
M,37
K,25
M,6
M,2
M,28
K,36
M,60
M,25
K,25
K,2
M,46
K,50
K,20
K,18
M,23
M,16
K,71
K,35
K,31
M,51
K,50
M,20
M,18
K,13
M,24
M,19
K,55
K,17
M,78
K,71
M,33
M,52
K,48
M,20
M,12
K,77
K,52
K,68
K,18
M,54
K,33
K,70
M,30
K,34
K,2
K,17
K,19
M,45
K,35
M,5
M,22
K,44
M,60
M,37
K,46
K,15
K,11
M,10
K,1
M,NULL
M,41
K,44
M,33
M,62
K,77
K,48
K,39
