gender,age
M,25
M,22
K,35
K,13
M,43
M,19
M,15
M,17
M,18
M,15
M,13
K,24
M,76
K,42
K,22
M,11
M,27
K,25
M,3
M,2
M,66
K,49
K,57
M,46
K,47
M,13
K,10
M,37
K,32
M,11
M,10
K,7
K,6
M,5
M,4
K,3
K,1
M,28
M,18
K,39
M,36
K,41
K,8
K,5
K,69
M,20
M,52
K,56
K,13
M,57
M,36
K,37
M,11
K,10
M,7
M,6
K,2
M,40
K,36
K,12
K,9
K,7
M,5
M,38
K,38
M,10
K,7
K,4
M,2
M,NULL
K,50
K,11
M,24
M,24
M,24
K,59
M,23
M,18
M,24
M,24
M,23
M,24
M,67
K,72
K,20
M,72
M,59
K,58
M,9
M,7
K,28
M,29
K,68
M,55
M,31
K,8
M,26
K,9
K,NULL
K,52
M,55
K,45
M,27
K,27
K,3
M,33
K,33
M,10
K,7
K,4
M,3
M,28
K,25
M,3
K,2
M,40
K,32
M,8
K,6
K,41
K,40
M,8
M,35
K,42
M,15
M,6
M,3
K,42
M,14
M,12
M,3
M,46
K,36
M,10
K,8
M,6
K,5
M,46
K,29
K,3
K,0
M,63
K,69
K,8
K,38
M,29
M,38
K,32
K,68
M,39
K,37
K,1
M,26
K,41
K,43
K,8
K,1
M,52
K,55
K,21
M,35
K,36
M,8
K,11
K,6
K,5
K,2
K,19
M,19
M,19
M,27
K,29
M,2
M,0
M,31
K,33
M,11
K,3
M,1
M,30
K,27
M,36
K,34
M,7
K,1
K,66
K,33
M,48
M,18
K,13
K,47
K,30
M,NULL
K,51
K,22
K,17
M,11
K,61
M,40
K,23
M,2
K,30
M,4
K,1
M,34
K,32
K,31
M,3
M,8
M,38
K,34
M,6
M,1
M,35
K,44
K,70
K,31
K,10
M,7
M,2
K,79
K,43
M,37
K,37
M,5
K,8
M,34
K,30
M,3
M,1
M,32
K,30
K,18
M,62
K,28
K,26
M,8
K,49
K,20
K,20
M,21
M,24
M,36
M,58
K,48
M,29
M,20
K,20
