Type,m_1m,f_1m,m_2m,f_2m,m_3m,f_3m,m_4-6m,f_4-6m,m_7-9m,k_7-9m,m_10-12m,f_10-12m,m_2y,f_2y,m_3y,f_3y,m_4y,f_4y,m_5y,f_5y,m_5-10,f_5-10,m_10-15,f_10-15,m_15-19,f_15-19,m_20-24,f_20-24,m_25-29,f_25-29,m_30-34,f_30-34,m_35-39,f_35-39,m_40-44,f_40-44,m_45-49,f_45-49,m_50-54,f_50-54,m_55-59,f_55-59,m_60-64,f_60-64,m_65-69,f_65-69,m_70-74,f_70-74,m_75-79,f_75-79,m_80+,f_80+,m_unkn,f_unkn,m_allage,f_all_age,unknown age-gender,All_age
Cholera,7,7,4,1,3,3,13,11,14,11,7,10,56,49,38,33,32,22,27,22,47,55,29,31,28,32,93,46,110,96,150,153,218,183,201,161,203,191,201,234,189,191,126,195,89,191,80,157,42,118,11,68,149,193,2170,2469,24,4663
Summa,376,274,48,52,46,38,119,93,69,67,63,69,177,148,94,85,65,48,53,45,91,106,48,53,52,71,169,91,163,167,213,203,314,235,291,216,293,247,326,322,298,261,218,266,164,279,161,287,79,202,55,157,149,193,4207,4279,24,8510
